"Date","Price","Open","High","Low","Vol.","Change %"
"08/30/2019","40.96","40.56","40.96","40.96","1.02M","0.99%"
"08/29/2019","40.56","40.56","40.56","40.56","231.60K","0.00%"
"08/28/2019","40.56","40.56","40.56","40.56","285.00K","0.00%"
"08/27/2019","40.56","40.40","40.56","40.56","388.13K","0.40%"
"08/26/2019","40.40","40.56","41.00","40.40","894.57K","-0.39%"
"08/23/2019","40.56","40.56","40.56","40.56","257.67K","0.00%"
"08/22/2019","40.56","40.08","40.56","40.56","1.70M","1.20%"
"08/21/2019","40.08","40.08","40.08","40.08","189.66K","0.00%"
"08/20/2019","40.08","40.00","40.16","40.00","3.07M","0.20%"
"08/19/2019","40.00","40.00","40.00","40.00","154.33K","0.00%"
"08/16/2019","40.00","40.00","40.00","40.00","94.40K","0.00%"
"08/15/2019","40.00","40.00","40.00","40.00","462.20K","0.00%"
"08/14/2019","40.00","40.00","40.00","39.96","7.45M","0.00%"
"08/09/2019","40.00","40.00","40.00","40.00","99.56K","0.00%"
"08/08/2019","40.00","40.00","40.00","40.00","17.81K","0.00%"
"08/07/2019","40.00","40.00","40.00","40.00","223.67K","0.00%"
"08/06/2019","40.00","40.00","40.00","40.00","224.21K","0.00%"
"08/05/2019","40.00","40.00","40.00","40.00","627.26K","0.00%"
"08/02/2019","40.00","40.00","40.00","40.00","168.21K","0.00%"
"08/01/2019","40.00","40.00","40.00","40.00","98.63K","0.00%"
"07/31/2019","40.00","44.00","40.00","40.00","929.02K","-9.09%"
"07/30/2019","44.00","48.00","44.00","44.00","1.42M","-8.33%"
"07/29/2019","48.00","48.00","48.00","48.00","251.36K","0.00%"
"07/26/2019","48.00","48.00","48.00","48.00","165.22K","0.00%"
"07/25/2019","48.00","48.00","48.00","48.00","301.78K","0.00%"
"07/24/2019","48.00","44.88","48.00","48.00","395.40K","6.95%"
"07/23/2019","44.88","44.88","44.88","44.88","4.80M","0.00%"
"07/22/2019","44.88","47.20","44.88","44.88","648.13K","-4.92%"
"07/19/2019","47.20","46.40","47.20","47.20","176.42K","1.72%"
"07/18/2019","46.40","47.20","46.40","46.40","9.94M","-1.69%"
"07/17/2019","47.20","47.20","47.20","47.20","820.82K","0.00%"
"07/16/2019","47.20","46.80","47.20","47.20","333.98K","0.85%"
"07/15/2019","46.80","46.40","48.00","46.80","1.83M","0.86%"
"07/12/2019","46.40","48.80","46.40","46.40","481.03K","-4.92%"
"07/11/2019","48.80","48.40","48.80","48.80","1.64M","0.83%"
"07/10/2019","48.40","48.40","48.40","48.40","5.75M","0.00%"
"07/09/2019","48.40","48.00","48.40","48.00","2.99M","0.83%"
"07/08/2019","48.00","48.32","48.00","48.00","1.34M","-0.66%"
"07/05/2019","48.32","48.40","48.32","48.12","543.55K","-0.17%"
"07/04/2019","48.40","48.40","48.40","48.40","140.48K","0.00%"
"07/03/2019","48.40","48.40","48.40","48.40","291.19K","0.00%"
"07/02/2019","48.40","48.00","48.40","46.40","3.80M","0.83%"
"07/01/2019","48.00","50.40","48.00","48.00","1.20M","-4.76%"
"06/28/2019","50.40","46.00","50.40","46.40","2.02M","9.57%"
"06/27/2019","46.00","49.60","46.00","46.00","314.63K","-7.26%"
"06/26/2019","49.60","46.40","49.60","46.00","3.16M","6.90%"
"06/25/2019","46.40","46.80","46.40","46.40","7.17M","-0.85%"
"06/24/2019","46.80","48.00","48.00","46.80","1.26M","-2.50%"
"06/21/2019","48.00","46.00","48.00","45.96","1.74M","4.35%"
"06/20/2019","46.00","45.60","46.00","45.60","10.35M","0.88%"
"06/19/2019","45.60","45.60","46.00","45.60","6.01M","0.00%"
"06/18/2019","45.60","46.40","45.60","45.60","4.68M","-1.72%"
"06/17/2019","46.40","46.40","46.40","46.40","241.89K","0.00%"
"06/14/2019","46.40","46.00","46.40","46.40","2.68M","0.87%"
"06/13/2019","46.00","45.60","46.00","45.60","11.28M","0.88%"
"06/11/2019","45.60","46.40","45.60","45.60","16.76M","-1.72%"
"06/10/2019","46.40","46.40","46.40","46.40","3.58M","0.00%"
"06/07/2019","46.40","46.40","46.40","46.40","358.50K","0.00%"
"06/06/2019","46.40","46.40","46.40","46.40","951.33K","0.00%"
"06/03/2019","46.40","46.40","46.40","46.40","3.39M","0.00%"
"05/31/2019","46.40","48.00","46.40","46.40","934.70K","-3.33%"
"05/30/2019","48.00","48.00","48.00","48.00","866.23K","0.00%"
"05/28/2019","48.00","46.40","48.00","46.40","2.97M","3.45%"
"05/27/2019","46.40","46.40","46.40","46.40","119.92K","0.00%"
"05/24/2019","46.40","49.36","47.20","46.40","8.89M","-6.00%"
"05/23/2019","49.36","49.36","49.36","49.36","136.32K","0.00%"
"05/22/2019","49.36","49.72","49.60","49.36","2.72M","-0.72%"
